fixed,buggy,baseline_ast_gumtree,line_id_tp_dataset
"protected void METHOD_1 ( ) { super . METHOD_1 ( ) ; TYPE_1 VAR_1 = ( ( TYPE_1 ) ( VAR_2 . METHOD_2 ( ) ) ) ; VAR_1 . METHOD_3 ( VAR_2 ) ; VAR_3 . i ( VAR_4 , STRING_1 ) ; }","protected void METHOD_1 ( ) { super . METHOD_1 ( ) ; VAR_3 . i ( VAR_4 , STRING_1 ) ; }","['Delete TypeReference', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation']",1
public static void main ( java.lang.String [ ] args ) throws java.lang.Exception { TYPE_1 VAR_1 = new TYPE_1 ( ) ; TYPE_2 VAR_2 = VAR_1 . METHOD_1 ( VAR_3 ) ; java.lang.System.out.print ( VAR_1 . METHOD_2 ( VAR_2 ) ) ; },public static void main ( java.lang.String [ ] args ) throws java.lang.Exception { TYPE_1 VAR_1 = new TYPE_1 ( ) ; VAR_1 . METHOD_1 ( VAR_3 ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete FieldRead', 'Delete VariableRead', 'Delete VariableRead', 'Delete Invocation', 'Delete Invocation']",4
private java.util.List < TYPE_1 > METHOD_1 ( boolean VAR_1 ) { java.util.List < TYPE_1 > result = new java.util.ArrayList < TYPE_1 > ( METHOD_2 ( ) . METHOD_3 ( ) ) ; if ( VAR_1 ) TYPE_2 . METHOD_4 ( result ) ; return result ; },private java.util.List < TYPE_1 > METHOD_1 ( boolean VAR_1 ) { return new java.util.ArrayList < TYPE_1 > ( METHOD_2 ( ) . METHOD_3 ( ) ) ; },"['Move ConstructorCall', 'Delete TypeReference', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete Block', 'Delete If', 'Delete VariableRead']",6
"public TYPE_1 build ( ) { TYPE_1 VAR_1 = new TYPE_1 ( id , VAR_2 , VAR_3 , VAR_4 , VAR_5 , VAR_6 ) ; VAR_1 . METHOD_1 ( VAR_7 ) ; return VAR_1 ; }","public TYPE_1 build ( ) { return new TYPE_1 ( id , VAR_2 , VAR_3 , VAR_4 , VAR_5 , VAR_6 ) ; }","['Move ConstructorCall', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead']",7
public void METHOD_1 ( ) { this . METHOD_2 ( ) ; int tmp = METHOD_3 ( 1 ) ; if ( tmp != INT_1 ) this . VAR_1 = tmp ; else this . VAR_1 = 0 ; },public void METHOD_1 ( ) { this . METHOD_2 ( ) ; if ( ( METHOD_3 ( 1 ) ) != INT_1 ) this . VAR_1 = METHOD_3 ( 1 ) ; else this . VAR_1 = 0 ; },"['Move Invocation', 'Insert Invocation', 'Insert Literal', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete VariableRead']",8
"private void METHOD_1 ( ) { METHOD_2 ( ) ; android.content.Intent VAR_1 = new android.content.Intent ( METHOD_3 ( ) , VAR_2 class ) . METHOD_4 ( VAR_3 , VAR_4 . getId ( ) ) ; METHOD_5 ( VAR_1 , VAR_5 ) ; }","private void METHOD_1 ( ) { METHOD_2 ( ) ; android.content.Intent VAR_1 = new android.content.Intent ( METHOD_3 ( ) , VAR_2 class ) ; METHOD_5 ( VAR_1 , VAR_5 ) ; }","['Move ConstructorCall', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete Invocation']",11
private void METHOD_1 ( ) { VAR_1 = ( java.lang.Math.random ( ) ) >= FLOAT_1 ; if ( VAR_1 ) VAR_2 = new TYPE_1 ( ) ; else VAR_2 = new TYPE_2 ( ) ; },private void METHOD_1 ( ) { VAR_1 = ( java.lang.Math.random ( ) ) >= FLOAT_1 ; if ( VAR_1 ) { TYPE_1 b = new TYPE_1 ( ) ; VAR_2 = TYPE_1 ; } else VAR_2 = new TYPE_2 ( ) ; },"['Insert LocalVariable', 'Insert TypeReference', 'Move ConstructorCall', 'Insert FieldRead']",12
"public void METHOD_1 ( ) { java.lang.String VAR_1 = VAR_2 . METHOD_2 ( false ) ; java.lang.String VAR_3 = VAR_2 . METHOD_3 ( ) ; VAR_2 . METHOD_4 ( VAR_1 , VAR_3 ) ; VAR_4 . assertEquals ( VAR_1 , VAR_2 . METHOD_2 ( false ) ) ; }","public void METHOD_1 ( ) { java.lang.String VAR_1 = VAR_2 . METHOD_2 ( false ) ; VAR_2 . METHOD_4 ( VAR_1 ) ; VAR_4 . assertEquals ( VAR_1 , VAR_2 . METHOD_2 ( false ) ) ; }","['Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead']",16
public int METHOD_1 ( TYPE_1 key ) { java.lang.Integer VAR_1 = VAR_2 . get ( key ) ; if ( VAR_1 == null ) return METHOD_2 ( key ) ; else return VAR_1 ; },public int METHOD_1 ( TYPE_1 key ) { return METHOD_2 ( key ) ; },"['Move Return', 'Delete TypeReference', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete Block', 'Delete VariableRead', 'Delete Return', 'Delete Block', 'Delete If']",17
"public void METHOD_1 ( android.view.View VAR_1 ) { android.content.Intent intent = new android.content.Intent ( METHOD_2 ( ) , VAR_2 class ) ; intent . METHOD_3 ( STRING_1 , VAR_3 ) ; METHOD_4 ( intent ) ; }",public void METHOD_1 ( android.view.View VAR_1 ) { },"['Delete TypeReference', 'Delete Invocation', 'Delete FieldRead', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead', 'Delete Invocation']",18
"public TYPE_1 index ( ) { TYPE_1 VAR_1 = new TYPE_1 ( STRING_1 ) ; VAR_1 . METHOD_1 ( STRING_2 , STRING_3 ) ; VAR_1 . METHOD_1 ( STRING_4 , true ) ; return VAR_1 ; }",public java.lang.String index ( ) { return STRING_1 ; },"['Update TypeReference', 'Move FieldRead', 'Delete TypeReference', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Literal', 'Delete Invocation', 'Delete VariableRead']",21
"public int METHOD_1 ( ) { int VAR_1 = java.lang.Integer.parseInt ( VAR_2 . getString ( VAR_3 . getString ( VAR_4 ) , ( ( VAR_5 . METHOD_2 ( ) . METHOD_3 ( VAR_6 ) ) + STRING_1 ) ) ) ; return VAR_1 ; }","public int METHOD_1 ( ) { return VAR_2 . getInt ( VAR_3 . getString ( VAR_4 ) , VAR_5 . METHOD_2 ( ) . METHOD_3 ( VAR_6 ) ) ; }","['Update Invocation', 'Move Invocation', 'Move Invocation', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete FieldRead', 'Delete BinaryOperator', 'Delete VariableRead']",22
public void METHOD_1 ( ) { TYPE_1 VAR_1 = ( ( TYPE_1 ) ( getContext ( ) ) ) ; VAR_1 . METHOD_2 ( new TYPE_2 ( ) { public void METHOD_1 ( ) { METHOD_3 ( ) ; } } ) ; },public void METHOD_1 ( ) { TYPE_1 VAR_1 = ( ( TYPE_1 ) ( context ) ) ; VAR_1 . METHOD_2 ( new TYPE_2 ( ) { public void METHOD_1 ( ) { METHOD_3 ( ) ; } } ) ; },"['Insert FieldRead', 'Move TypeReference', 'Delete Invocation']",23
public static TYPE_1 METHOD_1 ( java.lang.String name ) { TYPE_1 VAR_1 = VAR_2 . get ( name ) ; if ( VAR_1 == null ) { return VAR_2 . get ( VAR_3 ) ; } else { return VAR_1 ; } },public static TYPE_1 METHOD_1 ( java.lang.String name ) { return VAR_2 . get ( name ) ; },"['Insert Return', 'Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete Return', 'Delete Block', 'Delete VariableRead', 'Delete Return', 'Delete Block', 'Delete If']",24
"public void METHOD_1 ( TYPE_1 VAR_1 , int position ) { int VAR_2 = position + 1 ; java.lang.String VAR_3 = ( VAR_4 ) + VAR_2 ; VAR_5 . setText ( VAR_3 ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , int position ) { java.lang.String VAR_3 = ( VAR_4 ) + position ; VAR_5 . setText ( VAR_3 ) ; }","['Update LocalVariable', 'Move TypeReference', 'Move FieldRead', 'Delete TypeReference', 'Delete Literal', 'Delete VariableRead', 'Delete BinaryOperator', 'Delete LocalVariable']",25
"public TYPE_1 METHOD_1 ( java.lang.Object id ) { TYPE_1 VAR_1 = VAR_2 . METHOD_1 ( VAR_3 class , id ) ; VAR_2 . METHOD_2 ( VAR_1 ) ; return VAR_1 ; }","public TYPE_1 METHOD_1 ( java.lang.Object id ) { return VAR_2 . METHOD_1 ( VAR_3 class , id ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete VariableRead']",26
public static TYPE_1 METHOD_1 ( ) { if ( ( VAR_1 ) == null ) { TYPE_1 VAR_2 = TYPE_2 . METHOD_2 ( ) . METHOD_3 ( ) . build ( ) ; return VAR_2 ; } return VAR_1 ; },public static TYPE_1 METHOD_1 ( ) { if ( ( VAR_1 ) == null ) { TYPE_1 VAR_2 = TYPE_2 . METHOD_2 ( ) . build ( ) ; return VAR_2 ; } return VAR_1 ; },"['Update Invocation', 'Move Invocation', 'Delete Invocation']",29
"public void METHOD_1 ( android.view.View VAR_1 ) { android.content.Intent VAR_2 = context . METHOD_2 ( ) . METHOD_3 ( VAR_3 ) ; if ( VAR_2 != null ) { context . METHOD_4 ( VAR_2 ) ; } else { TYPE_1 . METHOD_5 ( STRING_1 , STRING_2 ) ; } }",public void METHOD_1 ( android.view.View VAR_1 ) { android.content.Intent intent = new android.content.Intent ( ) ; },"['Update LocalVariable', 'Insert ConstructorCall', 'Delete FieldRead', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete FieldRead', 'Delete VariableRead', 'Delete Invocation', 'Delete Block', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete Block', 'Delete If']",30
public final long METHOD_1 ( ) { long VAR_1 = VAR_2 . METHOD_2 ( ) ; if ( VAR_1 == 0 ) { return 0 ; } return INT_1 / ( VAR_2 . METHOD_2 ( ) ) ; },public final long METHOD_1 ( ) { return INT_1 / ( VAR_2 . METHOD_2 ( ) ) ; },"['Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete Literal', 'Delete Return', 'Delete Block', 'Delete If']",31
