Unnamed: 0,fixed_code,buggy_code,gumtree_baseline,line_in_dataset,gpt_attempt1,baseline_nodes,gpt_nodes,node_set_match,jaccard_score,precision,recall,f1_score,tp,fp,fn
0,0,public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( ! ( VAR_2 ) ) { METHOD_2 ( ) ; VAR_2 = true ; VAR_3 . METHOD_3 ( ) ; VAR_3 . METHOD_4 ( ) ; } },public void METHOD_1 ( TYPE_1 VAR_1 ) { if ( ! ( VAR_2 ) ) { METHOD_2 ( ) ; VAR_2 = true ; VAR_3 . METHOD_3 ( ) ; } },"['Delete TypeAccess', 'Delete Invocation']",1,['Delete Invocation'],"['TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.5,0.6666666666666666,1,0,1
1,1,"public static void main ( java.lang.String [ ] args ) { TYPE_1 . METHOD_1 ( ) ; TYPE_2 . METHOD_2 ( false , false , false ) ; }","public static void main ( java.lang.String [ ] args ) { TYPE_2 . METHOD_2 ( false , false , false ) ; }","['Delete TypeAccess', 'Delete Invocation']",2,"['Delete TypeAccess', 'Delete Invocation']","['TypeAccess', 'Invocation']","['TypeAccess', 'Invocation']",Exact Match,1.0,1.0,1.0,1.0,2,0,0
2,2,"public TYPE_1 METHOD_1 ( TYPE_2 index , boolean VAR_1 ) { return TYPE_3 . METHOD_1 ( index , VAR_2 , VAR_3 , VAR_4 , VAR_1 , VAR_5 , TYPE_4 . METHOD_2 ( VAR_1 ) ) . build ( ) ; }","public TYPE_1 METHOD_1 ( TYPE_2 index , boolean VAR_1 ) { return TYPE_3 . METHOD_1 ( index , VAR_3 , VAR_3 , VAR_4 , VAR_1 , VAR_5 ) . build ( ) ; }","['Update TypeAccess', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation']",3,"['Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation', 'Update VariableRead']","['TypeAccess', 'TypeAccess', 'VariableRead', 'Invocation']","['VariableRead', 'TypeAccess', 'Invocation', 'VariableRead']",Exact Match,1.0,0.75,0.75,0.75,3,1,1
3,3,"public void METHOD_1 ( ) { super . METHOD_1 ( ) ; TYPE_1 . METHOD_2 ( this , VAR_1 , false ) ; METHOD_3 ( new android.content.Intent ( METHOD_4 ( ) , VAR_2 class ) . METHOD_5 ( VAR_3 ) ) ; }","public void METHOD_1 ( ) { super . METHOD_1 ( ) ; METHOD_3 ( new android.content.Intent ( METHOD_4 ( ) , VAR_2 class ) . METHOD_5 ( VAR_3 ) ) ; }","['Delete TypeAccess', 'Delete ThisAccess', 'Delete TypeAccess', 'Delete Literal', 'Delete Invocation']",4,['Delete Invocation'],"['TypeAccess', 'ThisAccess', 'TypeAccess', 'Literal', 'Invocation']",['Invocation'],GPT Missed Nodes,0.25,1.0,0.2,0.33333333333333337,1,0,4
4,4,public void METHOD_1 ( ) { if ( VAR_1 . get ( ) ) METHOD_2 ( VAR_2 . get ( ) ) ; VAR_3 . set ( false ) ; },public void METHOD_1 ( ) { if ( VAR_1 . get ( ) ) METHOD_2 ( VAR_2 . get ( ) ) ; },"['Delete TypeAccess', 'Delete Literal', 'Delete Invocation']",5,['Delete Invocation'],"['TypeAccess', 'Literal', 'Invocation']",['Invocation'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
5,5,public void METHOD_1 ( ) { if ( ( VAR_1 ) > 1 ) { METHOD_2 ( this ) ; } else { METHOD_3 ( ) ; } },public void METHOD_1 ( ) { if ( ( VAR_1 ) > 1 ) { METHOD_2 ( this ) ; } },"['Delete Invocation', 'Delete Block']",6,['Delete Invocation'],"['Invocation', 'Block']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.5,0.6666666666666666,1,0,1
6,6,public void METHOD_1 ( long id ) { VAR_1 . METHOD_2 ( ) ; },public void METHOD_1 ( long id ) { },"['Delete TypeAccess', 'Delete Invocation']",7,['Delete Invocation'],"['TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.5,0.6666666666666666,1,0,1
7,7,public void METHOD_1 ( ) { METHOD_2 ( null ) ; METHOD_3 ( ) ; METHOD_4 ( ) . METHOD_5 ( ) ; if ( VAR_1 != null ) { VAR_1 . METHOD_1 ( ) ; } },public void METHOD_1 ( ) { METHOD_2 ( null ) ; METHOD_4 ( ) . METHOD_5 ( ) ; if ( VAR_1 != null ) { VAR_1 . METHOD_1 ( ) ; } },['Delete Invocation'],8,['Delete Invocation'],['Invocation'],['Invocation'],Exact Match,1.0,1.0,1.0,1.0,1,0,0
8,8,"public TYPE_1 METHOD_1 ( ) { return TYPE_1 . METHOD_2 ( VAR_1 . METHOD_1 ( ) , VAR_2 . METHOD_1 ( ) ) ; }",public TYPE_1 METHOD_1 ( ) { return ; },"['Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation', 'Delete Invocation']",9,"['Delete TypeAccess', 'Delete Invocation', 'Delete Invocation', 'Delete Invocation']","['TypeAccess', 'TypeAccess', 'Invocation', 'TypeAccess', 'Invocation', 'Invocation']","['TypeAccess', 'Invocation', 'Invocation', 'Invocation']",Exact Match,1.0,1.0,0.6666666666666666,0.8,4,0,2
9,9,"public void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 position ) { METHOD_2 ( position , new TYPE_2 ( VAR_2 , VAR_3 ) , VAR_1 ) ; VAR_4 = true ; VAR_5 . METHOD_3 ( ) . METHOD_4 ( VAR_6 ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 position ) { METHOD_2 ( position , new TYPE_2 ( VAR_2 , VAR_3 ) , VAR_1 ) ; VAR_4 = true ; }","['Delete TypeAccess', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation']",10,['Delete Invocation'],"['TypeAccess', 'Invocation', 'TypeAccess', 'Invocation']",['Invocation'],GPT Missed Nodes,0.5,1.0,0.25,0.4,1,0,3
