fixed_code,buggy_code,gumtree_baseline,line_in_dataset,gpt_attempt1,baseline_nodes,gpt_nodes,node_set_match,jaccard_score,precision,recall,f1_score,tp,fp,fn
0,public void METHOD_1 ( boolean VAR_1 ) { VAR_2 = VAR_1 ; VAR_3 = true ; VAR_4 = TYPE_1 . METHOD_2 ( ) ; TYPE_2 . METHOD_3 ( this ) ; },public void METHOD_1 ( boolean VAR_1 ) { VAR_2 = VAR_1 ; VAR_4 = TYPE_1 . METHOD_2 ( ) ; TYPE_2 . METHOD_3 ( this ) ; },"['Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",1,['Delete Assignment'],"['FieldWrite', 'Literal', 'Assignment']",['Assignment'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
1,public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 = VAR_3 . METHOD_2 ( ) ; METHOD_3 ( VAR_3 . METHOD_2 ( ) ) ; },public void METHOD_1 ( android.view.View VAR_1 ) { METHOD_3 ( VAR_3 . METHOD_2 ( ) ) ; },"['Delete FieldWrite', 'Delete TypeAccess', 'Delete Invocation', 'Delete Assignment']",6,['Delete LocalVariable'],"['FieldWrite', 'TypeAccess', 'Invocation', 'Assignment']",['LocalVariable'],Partial Match,0.0,0.0,0.0,0.0,0,1,4
2,public void METHOD_1 ( ) { this . VAR_1 = this . VAR_2 ; },public void METHOD_1 ( ) { },"['Delete ThisAccess', 'Delete FieldWrite', 'Delete ThisAccess', 'Delete FieldRead', 'Delete Assignment']",8,['Delete Assignment'],"['ThisAccess', 'FieldWrite', 'ThisAccess', 'FieldRead', 'Assignment']",['Assignment'],GPT Missed Nodes,0.25,1.0,0.2,0.33333333333333337,1,0,4
3,"public void METHOD_1 ( ) { VAR_1 = new TYPE_1 ( ) ; VAR_2 = new TYPE_2 ( ) ; VAR_3 = new TYPE_3 ( ) ; VAR_3 . METHOD_2 ( STRING_1 , new TYPE_4 ( ) ) ; TYPE_5 . METHOD_3 ( STRING_2 , VAR_3 ) ; }","public void METHOD_1 ( ) { VAR_1 = new TYPE_1 ( ) ; VAR_3 = new TYPE_3 ( ) ; VAR_3 . METHOD_2 ( STRING_1 , new TYPE_4 ( ) ) ; TYPE_5 . METHOD_3 ( STRING_2 , VAR_3 ) ; }","['Delete FieldWrite', 'Delete ConstructorCall', 'Delete Assignment']",10,['Delete LocalVariable'],"['FieldWrite', 'ConstructorCall', 'Assignment']",['LocalVariable'],Partial Match,0.0,0.0,0.0,0.0,0,1,3
4,public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . METHOD_1 ( VAR_1 ) ; METHOD_2 ( ) ; VAR_3 = VAR_4 ; },public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . METHOD_1 ( VAR_1 ) ; METHOD_2 ( ) ; },"['Delete FieldWrite', 'Delete FieldRead', 'Delete Assignment']",11,['Delete LocalVariable'],"['FieldWrite', 'FieldRead', 'Assignment']",['LocalVariable'],Partial Match,0.0,0.0,0.0,0.0,0,1,3
5,public void METHOD_1 ( ) { if ( ( VAR_1 ) != null ) { VAR_1 = VAR_1 . METHOD_2 ( ) ; } },public void METHOD_1 ( ) { if ( ( VAR_1 ) != null ) { VAR_1 . METHOD_2 ( ) ; } },"['Move Invocation', 'Delete FieldWrite', 'Delete Assignment']",12,['Delete Assignment'],"['Invocation', 'FieldWrite', 'Assignment']",['Assignment'],GPT Missed Nodes,0.3333333333333333,1.0,0.3333333333333333,0.5,1,0,2
6,"public void METHOD_1 ( TYPE_1 view , int VAR_1 , int VAR_2 , int VAR_3 ) { this . VAR_4 = VAR_1 ; this . VAR_5 = VAR_2 ; this . VAR_6 = VAR_3 ; }","public void METHOD_1 ( TYPE_1 view , int VAR_1 , int VAR_2 , int VAR_3 ) { }","['Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead', 'Delete Assignment', 'Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead', 'Delete Assignment', 'Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead', 'Delete Assignment']",13,"['Delete Invocation', 'Delete Invocation', 'Delete Invocation']","['ThisAccess', 'FieldWrite', 'VariableRead', 'Assignment', 'ThisAccess', 'FieldWrite', 'VariableRead', 'Assignment', 'ThisAccess', 'FieldWrite', 'VariableRead', 'Assignment']","['Invocation', 'Invocation', 'Invocation']",Partial Match,0.0,0.0,0.0,0.0,0,3,12
7,"public void METHOD_1 ( TYPE_1 VAR_1 , int i , int VAR_2 , int VAR_3 ) { startTime = startTime . METHOD_2 ( i ) ; startTime = startTime . METHOD_3 ( VAR_2 ) ; startTime = startTime . METHOD_4 ( VAR_3 ) ; METHOD_5 ( ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , int i , int VAR_2 , int VAR_3 ) { startTime . METHOD_2 ( i ) ; startTime . METHOD_3 ( VAR_2 ) ; startTime . METHOD_4 ( VAR_3 ) ; METHOD_5 ( ) ; }","['Move Invocation', 'Move Invocation', 'Move Invocation', 'Delete FieldWrite', 'Delete Assignment', 'Delete FieldWrite', 'Delete Assignment', 'Delete FieldWrite', 'Delete Assignment']",14,['Delete LocalVariable'],"['Invocation', 'Invocation', 'Invocation', 'FieldWrite', 'Assignment', 'FieldWrite', 'Assignment', 'FieldWrite', 'Assignment']",['LocalVariable'],Partial Match,0.0,0.0,0.0,0.0,0,1,9
8,"public void METHOD_1 ( int offset , int length ) { if ( ( offset + length ) > ( VAR_1 . length ) ) { throw new TYPE_1 ( STRING_1 ) ; } this . offset = offset ; this . length = length ; }","public void METHOD_1 ( int offset , int length ) { if ( ( offset + length ) > ( VAR_1 . length ) ) { throw new TYPE_1 ( STRING_1 ) ; } this . offset = offset ; }","['Delete ThisAccess', 'Delete FieldWrite', 'Delete VariableRead', 'Delete Assignment']",15,['Delete Assignment'],"['ThisAccess', 'FieldWrite', 'VariableRead', 'Assignment']",['Assignment'],GPT Missed Nodes,0.25,1.0,0.25,0.4,1,0,3
9,public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 . METHOD_2 ( ) ; VAR_3 . METHOD_3 ( VAR_4 ) ; VAR_5 . METHOD_4 ( ) ; VAR_6 = false ; VAR_7 . METHOD_5 ( ) ; },public void METHOD_1 ( android.view.View VAR_1 ) { VAR_2 . METHOD_2 ( ) ; VAR_3 . METHOD_3 ( VAR_4 ) ; VAR_7 . METHOD_5 ( ) ; },"['Delete TypeAccess', 'Delete Invocation', 'Delete FieldWrite', 'Delete Literal', 'Delete Assignment']",16,"['Delete Invocation', 'Delete LocalVariable']","['TypeAccess', 'Invocation', 'FieldWrite', 'Literal', 'Assignment']","['Invocation', 'LocalVariable']",Partial Match,0.16666666666666666,0.5,0.2,0.28571428571428575,1,1,4
